t,agent_id,node_name,k,emotion_E,order_q,net_stock,demand,fulfilled,stockout,excess_inventory,demand_shock,supply_disruption
0,retailer,零售商,1,-0.7897574586778365,21.0,0.0,21.523585398772155,10.0,11.523585398772155,0.0,False,False
0,wholesaler,批发商,2,-0.780878969224691,21.0,0.0,21.0,10.0,11.0,0.0,False,False
1,distributor,分销商,3,-0.780878969224691,21.0,0.0,21.0,10.0,11.0,0.0,False,False
1,manufacturer,制造商,4,-0.8651792903246677,21.0,0.0,21.0,10.0,11.0,0.0,False,False
0,retailer,零售商,1,-0.9879483933182297,15.0,0.0,15.5618721681836,0.0,15.5618721681836,0.0,False,False
0,wholesaler,批发商,2,-0.9877985779523242,15.0,0.0,15.0,0.0,15.0,0.0,False,False
0,distributor,分销商,3,-0.8826856131488378,15.0,0.0,15.0,0.0,15.0,0.0,False,False
1,manufacturer,制造商,4,-0.9891494970743931,15.0,0.0,15.0,0.0,15.0,0.0,False,False
1,retailer,零售商,1,-0.6298012606954234,21.0,0.0,21.533192063124083,21.0,0.5331920631240834,0.0,False,False
1,wholesaler,批发商,2,-0.5989184729068596,21.0,0.0,21.0,21.0,0.0,0.0,False,False
1,distributor,分销商,3,-0.549650187966387,21.0,0.0,21.0,21.0,0.0,0.0,False,False
2,manufacturer,制造商,4,-0.5995245674038171,21.0,0.0,21.0,21.0,0.0,0.0,False,False
2,retailer,零售商,1,-0.8518829649786763,25.0,0.0,25.469419613518113,15.0,10.469419613518113,0.0,False,False
2,wholesaler,批发商,2,-0.8394307127886105,25.0,0.0,25.0,15.0,10.0,0.0,False,False
2,distributor,分销商,3,-0.8422730777829169,25.0,0.0,25.0,15.0,10.0,0.0,False,False
3,manufacturer,制造商,4,-0.8395559777546191,25.0,0.0,25.0,15.0,10.0,0.0,False,False
3,retailer,零售商,1,-0.5344244123346344,2.0,8.020466136510125,12.979533863489875,12.979533863489875,0.0,0.0,False,False
3,wholesaler,批发商,2,0.2742429687728109,0.0,19.0,2.0,2.0,0.0,17.0,False,False
3,distributor,分销商,3,0.12919494300858098,0.0,21.0,0.0,0.0,0.0,21.0,False,False
4,manufacturer,制造商,4,0.13106470491117758,0.0,21.0,0.0,0.0,0.0,21.0,False,False
4,retailer,零售商,1,0.27179567647351816,9.0,23.041596739076773,9.978869397433348,9.978869397433348,0.0,13.062727341643425,False,False
4,wholesaler,批发商,2,-0.3508066022458004,0.0,35.0,9.0,9.0,0.0,26.0,False,False
4,distributor,分销商,3,-0.46960506063742746,0.0,46.0,0.0,0.0,0.0,46.0,False,False
5,manufacturer,制造商,4,-0.468584236046175,0.0,46.0,0.0,0.0,0.0,46.0,False,False
5,retailer,零售商,1,0.18799410946704315,10.0,9.412960024523672,15.628636714553101,15.628636714553101,0.0,0.0,False,False
5,wholesaler,批发商,2,-0.43412428297979777,1.0,25.0,10.0,10.0,0.0,15.0,False,False
5,distributor,分销商,3,-0.729998214831994,0.0,45.0,1.0,1.0,0.0,44.0,False,False
6,manufacturer,制造商,4,-0.7296642598054707,0.0,46.0,0.0,0.0,0.0,46.0,False,False
6,retailer,零售商,1,0.1308414659017727,13.0,2.1798546289650282,16.233105395558642,16.233105395558642,0.0,0.0,False,False
6,wholesaler,批发商,2,0.5909755410275729,7.0,12.0,13.0,13.0,0.0,0.0,False,False
6,distributor,分销商,3,-0.8044151499534693,0.0,38.0,7.0,7.0,0.0,31.0,False,False
7,manufacturer,制造商,4,-0.8043326337252449,0.0,46.0,0.0,0.0,0.0,46.0,False,False
7,retailer,零售商,1,-0.5061472506469225,13.0,0.0,18.032546910257874,12.179854628965028,5.852692281292846,0.0,False,False
7,wholesaler,批发商,2,0.3915952903100212,8.0,0.0,13.0,13.0,0.0,0.0,False,False
7,distributor,分销商,3,-0.8220445369215084,0.0,30.0,8.0,8.0,0.0,22.0,False,False
8,manufacturer,制造商,4,-0.5102242099791372,0.0,46.0,0.0,0.0,0.0,46.0,False,False
8,retailer,零售商,1,-0.5311294685674035,40.0,0.0,14.751053817261038,13.0,1.7510538172610381,0.0,False,False
8,wholesaler,批发商,2,-0.9296605322709999,40.0,0.0,40.0,7.0,33.0,0.0,False,False
8,distributor,分销商,3,-0.7914986657894619,40.0,0.0,40.0,30.0,10.0,0.0,False,False
9,manufacturer,制造商,4,-0.3427073420396757,40.0,6.0,40.0,40.0,0.0,0.0,False,False
9,retailer,零售商,1,-0.8267011154185178,10.0,0.0,21.772516782944663,13.0,8.772516782944663,0.0,False,False
9,wholesaler,批发商,2,-0.7821025753126336,40.0,0.0,10.0,8.0,2.0,0.0,False,False
9,distributor,分销商,3,-0.9879775592375012,40.0,0.0,40.0,0.0,40.0,0.0,False,False
10,manufacturer,制造商,4,-0.9595256901059824,40.0,0.0,40.0,6.0,34.0,0.0,False,False
10,retailer,零售商,1,-0.5217132108270282,29.0,15.224781931382928,24.77521806861707,24.77521806861707,0.0,0.0,False,False
10,wholesaler,批发商,2,-0.5224323831297933,40.0,11.0,29.0,29.0,0.0,0.0,False,False
10,distributor,分销商,3,-0.5989988129486152,40.0,0.0,40.0,40.0,0.0,0.0,False,False
11,manufacturer,制造商,4,-0.586076009159043,40.0,0.0,40.0,40.0,0.0,0.0,False,False
11,retailer,零售商,1,-0.3497854270190424,30.0,2.507019409268313,22.717762522114615,22.717762522114615,0.0,0.0,False,False
11,wholesaler,批发商,2,0.4581387653025788,40.0,21.0,30.0,30.0,0.0,0.0,False,False
11,distributor,分销商,3,-0.3963398554331313,40.0,0.0,40.0,40.0,0.0,0.0,False,False
12,manufacturer,制造商,4,-0.38868765383854675,40.0,0.0,40.0,40.0,0.0,0.0,False,False
12,retailer,零售商,1,-0.2400713254300064,33.0,4.511932113370843,26.99508729589747,26.99508729589747,0.0,0.0,False,False
12,wholesaler,批发商,2,0.86341579968221,40.0,28.0,33.0,33.0,0.0,0.0,False,False
12,distributor,分销商,3,-0.270532143455904,40.0,0.0,40.0,40.0,0.0,0.0,False,False
13,manufacturer,制造商,4,-0.2655604779730664,40.0,0.0,40.0,40.0,0.0,0.0,False,False
13,retailer,零售商,1,-0.16648564250025963,33.0,8.676841754161885,25.835090359208962,25.835090359208962,0.0,0.0,False,False
13,wholesaler,批发商,2,0.8637925401019687,22.0,35.0,33.0,33.0,0.0,2.0,False,False
13,distributor,分销商,3,-0.18714075354360055,40.0,18.0,22.0,22.0,0.0,0.0,False,False
14,manufacturer,制造商,4,-0.18378029385975397,40.0,0.0,40.0,40.0,0.0,0.0,False,False
14,retailer,零售商,1,0.6924479932485981,23.0,23.055758888973592,18.621082865188292,18.621082865188292,0.0,4.4346760237853005,False,False
